"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"230","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/hEYiJFtjRv",FALSE,0,NA,2017-12-16 11:39:30,TRUE,NA,"941996202614288384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BalletLI",0,FALSE,FALSE,NA,NA
"231","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/C9FwKa7jr9",FALSE,0,NA,2017-12-16 11:21:09,TRUE,NA,"941991583628627968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BethFK",0,FALSE,FALSE,NA,NA
"232","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",FALSE,0,NA,2017-12-16 11:01:34,FALSE,NA,"941986656223145984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Piratemomz",575,TRUE,FALSE,NA,NA
"233","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/lx3OgvQyXM",FALSE,0,NA,2017-12-16 10:09:30,FALSE,NA,"941973550067433473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MissPhooey",0,FALSE,FALSE,NA,NA
"234","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/MCaLiDSbKT",FALSE,0,NA,2017-12-16 10:00:34,TRUE,NA,"941971303858429952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Loreley23",0,FALSE,FALSE,NA,NA
"235","My coffee addiction is finally becoming rewarding. Ì†ΩÌ∂§ #StarbucksForLife #50BonusStars #Starbucks https://t.co/6Wxi7VLrod",FALSE,0,NA,2017-12-16 09:51:44,FALSE,NA,"941969080231366657",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iHustle8o8",0,FALSE,FALSE,NA,NA
"236","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/yS9XiegZxE",FALSE,0,NA,2017-12-16 09:37:41,FALSE,NA,"941965545888501760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","steviepie1965",0,FALSE,FALSE,NA,NA
"237","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/fHfCRp1GHC",FALSE,0,NA,2017-12-16 08:42:56,TRUE,NA,"941951768077811712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rusapi3",0,FALSE,FALSE,NA,NA
"238","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/eSKOYjKAn2",FALSE,0,NA,2017-12-16 08:11:27,TRUE,NA,"941943842764242944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HealthHustlers",0,FALSE,FALSE,NA,NA
"239","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/dCl6xU80hh",FALSE,0,NA,2017-12-16 07:43:07,FALSE,NA,"941936712237776896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","smil3s12",0,FALSE,FALSE,NA,NA
