"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"156","celinagrunden","Getting my @blklkp on Ì†ΩÌ∏Å just not as awesome as you though Ì†ΩÌ∏òÌ†ΩÌ∏Ç
#StarbucksforLife https://t.co/mJVjLzSZ7Z",1,3,0,0,-76.6412712,39.0457549
"157","Chanel_marilyn","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/L817wix6Fg",0,0,1,1,-81.5157535,27.6648274
"164","cherylwitmer","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/qQw19hNz2r",0,0,1,1,-105.7820674,39.5500507
"165","chiefcrazywires","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/S5ODudOVgR",0,0,1,1,-77.0368707,38.9071923
"166","ChiefyLife","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/4TplO4SzVs",0,0,1,1,-87.9988006,41.9526775
"169","ChrisBoie","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/JwGgK15TQR",0,0,1,1,-121.3726043,38.4010138
"170","chrisNielsen3","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/SzwzRHd7k8",0,0,1,1,-95.3698028,29.7604267
"171","ChrisRenee73","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/888Wtty1KF",0,0,1,1,-111.7733902,32.9110027
"172","ChrisRenee73","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/14OUoGL6gT",0,0,1,1,-111.7733902,32.9110027
"173","chrissyred818","Add 2your collection&amp;fill up your game board for a chance 2 win prizes-including Starbucks 4 Life. #StarbucksforLife https://t.co/c6yiBNvU9z",0,0,1,1,-96.8193656,32.9292101
"174","christafoya","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/Qv2dhzpReV",0,0,1,1,-104.6091409,38.2544472
"175","Christina_Av17","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/sOseKwNmoy",0,0,1,1,-99.9018131,31.9685988
"178","ChuckMarcom","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/7hNl6MazDF",0,0,1,1,-111.8716526,40.6199498
"179","chuckwagon470","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/TwkD0WpyLl",0,0,1,1,-104.990251,39.7392358
"183","cjbbbb","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/UxEygwYb5j",0,0,1,1,-74.310299,40.775384
"184","ckarlatwits","Regardless of the weather, I really prefer my coffee iced. I don't know, I'm enjoying it when its chill. I guess, i‚Ä¶ https://t.co/XjPOsBAJe8",0,0,1,1,-117.0718638,32.6602282
"187","cleanbeautyAM","Every year @Starbucks sucks me in with the #StarbucksforLife game. #cannotresist #marketersdream",0,0,-1,1,-75.4901833,40.6084305
"188","clevervgirl","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/4LsC4LUwkC",0,0,1,1,-105.1019275,40.1672068
"195","CowboyRangerFan","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/U0LlSxCfcK",0,0,1,1,-100.4059384,32.4709519
"196","crashingechelon","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/W9rSygGjB7",0,0,1,1,-99.9018131,31.9685988
"198","CricketLickit","'Tis the season to be a winner. Millions of Stars, instant wins, and the chance at Starbucks for Life. I won 50 bon‚Ä¶ https://t.co/35BlA5Ol8h",0,0,3,3,-76.6412712,39.0457549
"199","Critter_Annie","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/ib0IcedEEI",0,1,1,1,-119.0376023,34.2163937
"201","cruise_getaway","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/fMIlqWJQD8",0,0,1,1,-80.1917902,25.7616798
"202","cruise_getaway","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/EKC4oc2CMT",0,0,1,1,-80.1917902,25.7616798
"203","cryptonewsbytes","Starbucks Wifi hijacked its users for cryptocurrency mining - https://t.co/jcEKix8uQo #StarbucksforLife #starbucks‚Ä¶ https://t.co/Hj2Xthny3t",1,0,0,0,-74.0059728,40.7127753
"206","CSantana18","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/T6Yrp8GTgJ",0,0,1,1,-80.1448023,40.7866883
"216","darlamack","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/xhDCgPVB8l",0,0,1,1,-77.8163682,34.8309998
"217","darlamack","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/ETn3mU304r",0,0,1,1,-77.8163682,34.8309998
"218","darlamack","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/cVVDMR8LxF",0,0,1,1,-77.8163682,34.8309998
"219","datasourceadmin","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/IY2iT95fL0",0,0,1,1,-118.2436849,34.0522342
"223","davistrent","@Starbucks hey guys! #StarbucksforLife plays aren't showing up for purchases (registered card in app) or free plays‚Ä¶ https://t.co/FtnY22txWi",0,0,1,1,-87.4735602,41.5808528
"225","dcostapenny1","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",572,0,0,0,-95.712891,37.09024
"226","DDplat","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/Gjr8cdLt9D",0,0,1,1,-73.087749,41.6032207
"228","DebraKCaffey","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/NwpXgI2OAg",0,0,1,1,-97.155012,32.8809603
"229","DelilahMJohnson","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/glbE0ZIb7w",0,0,1,1,-97.8615743,30.3428285
