"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"196","cici_0909","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"198","cmeaton","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.6441198,43.5890452
"199","cogi1962","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-89.3985283,40.6331249
"205","compatabel","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.8711024,43.2557206
"209","countrygirl0828","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"210","cowladydeland","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.712891,37.09024
"212","CraftyGirl47331","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-86.1349019,40.2671941
"217","CrystalJ86","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-113.5760576,53.307103
"218","crystalmoons","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-86.5804473,35.5174913
"220","Ctlcprncs1","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-97.7625441,35.5067215
"221","cubbiecutie1","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-85.1393513,41.079273
"227","DamienCrawley","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.712891,37.09024
"228","danamorin1971","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-80.918003,35.5019795
"229","DaniellaVent","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"230","danielleeshu","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.9958864,40.4406248
"231","dartzie62","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.2340558,39.005288
"233","dashanz67","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.4560512,30.3118769
"238","DDubDirtyDancer","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-92.4527467,35.5410511
"239","DeannaKathleen","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"243","defroger03","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-77.1945247,41.2033216
"246","DEWcanDEW","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.1415018,43.0890352
