"","lon","lat"
"402",NA,NA
"403",NA,NA
"404",NA,NA
"405",-106.346771,56.130366
"406",-91.8318334,37.9642529
"407",NA,NA
"408",NA,NA
"409",NA,NA
"410",NA,NA
"411",-74.0059728,40.7127753
"412",NA,NA
"413",-88.7878678,43.7844397
"414",-71.0588801,42.3600825
"415",-77.6109219,43.16103
"416",-97.092877,35.0077519
"417",-86.158068,39.768403
"418",-73.9441579,40.6781784
"419",NA,NA
"420",NA,NA
"421",-73.9974754,40.7511591
"422",-111.0937311,39.3209801
"423",NA,NA
"424",-117.3794834,33.1958696
"425",-87.6297982,41.8781136
"426",-115.1398296,36.1699412
"427",NA,NA
"428",NA,NA
"429",-82.0034692,39.9786785
"430",-99.9018131,31.9685988
"431",NA,NA
"432",NA,NA
"433",NA,NA
"434",NA,NA
"435",-79.0192997,35.7595731
"436",-76.6412712,39.0457549
"437",NA,NA
"438",NA,NA
"439",NA,NA
"440",-117.2286478,33.7825194
"441",NA,NA
"442",NA,NA
"443",NA,NA
"444",-92.586828,34.5645371
"445",NA,NA
"446",NA,NA
"447",-78.6568942,37.4315734
"448",NA,NA
"449",NA,NA
"450",NA,NA
"451",NA,NA
"452",NA,NA
"453",NA,NA
"454",NA,NA
"455",NA,NA
"456",NA,NA
"457",-91.6815252,42.0491958
"458",NA,NA
"459",NA,NA
"460",NA,NA
"461",NA,NA
"462",NA,NA
"463",NA,NA
"464",NA,NA
"465",NA,NA
"466",NA,NA
"467",NA,NA
"468",NA,NA
"469",NA,NA
"470",-111.8357564,39.7074404
"471",NA,NA
"472",NA,NA
"473",-122.4194155,37.7749295
"474",-87.7017175,41.7205889
"475",NA,NA
"476",NA,NA
"477",NA,NA
"478",-78.6568942,37.4315734
"479",-88.1833583,42.3991225
"480",NA,NA
"481",NA,NA
"482",-123.0867536,44.0520691
"483",NA,NA
"484",-73.9865533,40.7263542
"485",NA,NA
"486",NA,NA
"487",-122.7094767,42.1945758
"488",NA,NA
"489",NA,NA
"490",-123.1207375,49.2827291
"491",-117.2393748,47.6732281
"492",NA,NA
"493",-77.4360481,37.5407246
"494",NA,NA
"495",NA,NA
"496",-73.567256,45.5016889
"497",-78.8502856,35.732652
"498",NA,NA
"499",-79.81377,43.681467
"500",NA,NA
"501",NA,NA
"502",NA,NA
"503",NA,NA
"504",NA,NA
