"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"347","idie4chocolate","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",252,0,2,2,-123.1207375,49.2827291
"348","Imagol","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-79.7919754,36.0726354
"349","Imagol","RT @MsD422: #givegood¬† Spread cheer this holiday season by surprising someone with a‚Äùjust because‚Äù act of kindness.",268,0,2,2,-79.7919754,36.0726354
"350","Imagol","RT @CarieShipman: #GiveGood retweet for a chance to win Starbucks for life.",1269,0,1,1,-79.7919754,36.0726354
"353","InstinctiveJedi","Enjoying my Starbucks at home in front of my Christmas tree on this snowy day. #givegood",0,0,1,1,-74.4056612,40.0583238
"357","IRMwrites","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-122.2913078,37.8271784
"362","J_hnN","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-115.1398296,36.1699412
"364","JackNGinger17","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",614,0,1,1,-73.9974754,40.7511591
"365","jacombs85","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-122.3320708,47.6062095
"366","jacombs85","#givegood When you find a good deal while Christmas shopping, pick up a few extras for people in need",0,5,1,1,-122.3320708,47.6062095
"367","JacquelineGogel","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",614,0,1,1,-74.0059728,40.7127753
"375","janetldye","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",614,0,1,1,-70.2601759,43.7435343
"378","jaymed84","#givegood Starbucks always delivers @Starbucks",0,0,0,0,-122.7639851,45.3840077
"379","jazzdab","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",614,0,1,1,-78.6381787,35.7795897
"391","Jennifer_Boyle","RT @klimek_e: #givegood and not just @Starbucks because Jesus gave us the BEST gift EVER! https://t.co/jOzp0YpoXu",75,0,1,1,-112.0740373,33.4483771
"395","jervenstar","@Starbucks Exciting! Love this time of year #givegood",0,0,2,2,-122.4194155,37.7749295
"398","jfshea66","RT @MsD422: #givegood¬† Spread cheer this holiday season by surprising someone with a‚Äùjust because‚Äù act of kindness.",268,0,2,2,-117.9988026,33.6594835
"399","jggarrido08","Happy holidays, merry Christmas #givegood",0,0,2,2,-80.1917902,25.7616798
"400","jillianfaye86","Love this time of year always trying to make someone else‚Äôs day better, whether it be with free coffee or groceries‚Ä¶ https://t.co/7qp922390y",0,0,3,3,-116.2155619,33.7205771
"408","JMCreations1","RT @KimColegrove: Drink coffee and #givegood to boost your holiday mood! *Also, #meditate Ì†ΩÌ∏Å",2,0,0,0,-94.8191285,38.8813958
"415","joeytemp","Cool initiative from Starbucks - thanks for the gift card! #GiveGood https://t.co/TJ0REcKlBy",1,0,1,1,-79.8711024,43.2557206
"418","johnmac24","Did my first ever pay it forward at the starbucks drive thru and paid for the driver behind me. Why did I wait so long? #givegood",1,1,0,0,-86.158068,39.768403
"419","Johnny_Mags","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",614,0,1,1,-117.5931084,34.1063989
"420","johnreichardwes","RT @CityYearOrlando: .@Starbucks regional director surprised our hardworking partner teachers and admin at Evans HS with #GiveGood gift car‚Ä¶",2,0,0,0,-95.712891,37.09024
"421","Jojoxoxo21","Remember everyone is struggling with something. Ask how someome is doing. #givegood",0,0,-1,1,-74.0059728,40.7127753
"431","KalikaLuvv","Random acts of kindness is the best part of the holiday season. #GiveGood",0,0,2,2,-90.0489801,35.1495343
"433","KarenStockton16","#givegood sharing in forward",0,0,0,0,-117.4260465,47.6587802
"434","KARiTHATGiRL","pay it forward! #GiveGood",0,0,0,0,-122.4764428,37.7241286
"437","Kasum1_Mahiru","Spread the holiday joy by doing little things to make people's day. #givegood",0,1,1,1,-95.712891,37.09024
"439","Kathy_Boyd","#givegood¬†¬† Pack up some bags to carry in your car: ziploc bags with a pair of socks, toothpaste, toothbrush, nuts‚Ä¶ https://t.co/J5LXFhXM71",0,0,0,0,-117.6508876,34.0633443
"442","KatieGrom7","There‚Äôs always a reason to smile. #givegood",0,0,1,1,-95.2352501,38.9716689
"447","KehReal","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-89.3985283,40.6331249
"448","KehReal","Happy Holidays #GiveGood",0,0,1,1,-89.3985283,40.6331249
"451","kenziedod04","Loving the #givegood movement",0,0,1,1,-120.7401385,47.7510741
"454","kgadberry","Think I‚Äôll pay for the nice folks behind me today. #givegood #payitforward https://t.co/drMHpNQBPC",0,1,1,1,-104.990251,39.7392358
"458","KimDalferes","Retweet to be on the Nice list this year #StarbucksforLife #GiveGood https://t.co/DsgBHFeFZ6",0,0,1,1,-78.6568942,37.4315734
"459","kissesfrmsara","#givegood donate unwrapped toys to your local fire department for those less fortunate",0,3,1,1,-118.2436849,34.0522342
"462","kmpeany","RT @mariap0117: No act of kindness no matter how small, is ever wasted #GiveGood",85,0,0,0,-97.7430608,30.267153
"467","kristy_reid","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",252,0,2,2,-78.944148,44.1050454
"468","Krystle_Burger","'Tis the season...to win me some Starbucks for life! #givegood",0,0,1,1,-82.4571776,27.950575
"469","ksiech","Today is the day to give of yourself and help one another....don‚Äôt wait for someday. #GiveGood",0,2,0,0,-88.019826,44.519159
"472","kthunderstorms","RT @CharTornee: Always be there for the people you love the most. #GiveGood",2,0,1,1,-111.0937311,34.0489281
"473","ktturner09","#GiveGood because this world needs more good! Ì†æÌ¥ó",0,1,0,0,-94.1632404,45.5579451
"475","kwestenburg","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",572,0,0,0,-95.9979883,41.2523634
"481","LaurenJLake","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",614,0,1,1,-82.34082,27.993685
"482","LelandMM","Starbucks for life #givegood",0,0,0,0,-117.3794834,33.1958696
"485","lexkominek","I love when the @Starbucks #GiveGood ad is cropped for a square video and just says ""VEGOO"" #VEGOO https://t.co/RDYb83yFHL",0,0,1,1,-114.0708459,51.0486151
"487","lilmomma7673","#givegood early morning!
Long day!",0,0,0,0,-89.9845476,38.6703266
"488","lilmomma7673","#givegood
Starbucks Yay",0,0,1,1,-89.9845476,38.6703266
"490","LindaJMills","Love everything about this! #givegood This Family Took Their Holiday Photos in Starbucks, and Honestly, We&amp;#8217;re‚Ä¶ https://t.co/bdVJFyEoGy",1,1,1,1,-122.3320708,47.6062095
"493","LindseyMelton","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-78.6568942,37.4315734
"498","LisaTownsend01","@Starbucks playing starbucks for life. so fun! #GiveGood These tweets are inspiring!",0,0,2,2,-77.0368707,38.9071923
"502","LizLizdamadepor","We did it #starbucks #givegood we were 1 in a 50,000 #christmascard #giftcards  in all #USA‚Ä¶ https://t.co/cAXAfTNX2T",0,0,0,0,-87.6297982,41.8781136
"503","LolizaaY","#givegood the gift of joy coffee!",0,0,1,1,-117.2286478,33.7825194
"507","lov_dance","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",252,0,2,2,-85.323214,51.253775
"513","lovlyfe","No ugly Christmas sweaters here... #merrychristmas #starbucks #givegood Ì†ΩÌ≤ö‚ù§Ô∏è @Starbucks https://t.co/mjgPmggAcQ",0,0,0,0,-80.965652,32.032139
"514","lrendmc","Excited to see these crowds - ready to meet the Starbucks Give Good squad and get their holiday gift card.‚Ä¶ https://t.co/lOIz8jZMgx",0,0,3,3,-87.6297982,41.8781136
"517","LuLaRoe_by_Kari","#GiveGood with Starbucks by leaving a Starbucks card for your hardworking mail carrier!",0,0,0,0,-119.4179324,36.778261
"518","lwiltzius","Got an awesome Gift Card from #StarbucksforLife  from a good friend - that's #GiveGood I'll pass it on!",0,0,2,2,-120.7401385,47.7510741
"520","lynnegoodwin","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-119.2920585,36.3302284
"525","magster95945","Pay it forward, buy a random person a treat just to show you care.#GiveGood",0,0,0,0,-121.0610606,39.2190608
"526","mahwishfatima23","Kind words cost nothing, small gesture of love hurts no one. Do good to others it will come back to u one day #givegood",2,4,1,1,-95.712891,37.09024
"527","mainstreetnorth","Starbucks sent me a hand written note. Like how freaking adorable is this! #givegood  I seriously needed this today. https://t.co/LgIRrGVIN3",2,83,1,1,-81.5636838,28.80777
"531","mandersx410","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-73.9865533,40.7263542
"532","MandiNeitzel","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-99.9018131,41.4925374
"536","MargaritaRath","#givegood
I love my peppermint mocha Ì†ΩÌ∏ç",0,0,0,0,-95.3698028,29.7604267
"544","Martina67Warren","#givegood Starbucks is a great role model. Pay it forward!",0,0,1,1,-112.3496021,33.4355977
"545","mary_tabata","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-118.2436849,34.0522342
"548","mathdr91","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-94.1265562,30.080174
"549","MattADavisIsMe","Do something nice to show someone you care. #givegood",0,2,1,1,-97.229298,32.9341893
"552","mconder","#givegood I hope all of the Emergency Responders have a Happy, Healthy and Safe Holiday Season and New Year!",0,0,2,2,-104.6091409,38.2544472
"553","MeaMuzQ","#givegood  be a blessing to someone else!! Some who can pay it back!!Ì†ΩÌ≤ã",0,1,0,0,-96.7969879,32.7766642
"556","meegan1119","Peace. Love. Joy. ‚úåÌ†ºÌøº‚ù§Ô∏èÌ†ΩÌ∏äÌ†ºÌæÖÌ†ºÌøºÌ†ºÌæÑÌ†ºÌæÅ #stylinrylan #proudmomma #givegood‚Ä¶ https://t.co/uJItdflJJb",0,0,0,0,-111.8357564,39.7074404
"559","megannina2013","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",600,0,0,0,-71.0588801,42.3600825
"561","megzrx","Teaching my son the importance of helping others by getting presents for children who may not otherwise have any. #GiveGood",0,1,1,1,-95.3725285,29.74689
"563","MelFenster","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",290,0,1,1,-74.0059728,40.7127753
"568","miaaingeal","For all of the college students out there finishing finals and living at #Starbucks be sure to tip your hard workin‚Ä¶ https://t.co/7yXB6WtuS3",0,0,-1,1,-118.2436849,34.0522342
