"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"25","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:11:02,FALSE,NA,"942260828014858240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lauragar56",3700,TRUE,FALSE,NA,NA
"26","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:10:35,FALSE,NA,"942260716966416386",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Aeryn104",3700,TRUE,FALSE,NA,NA
"27","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:09:36,FALSE,NA,"942260469699694592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SadieTeixeira",3700,TRUE,FALSE,NA,NA
"28","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:08:14,FALSE,NA,"942260125728882689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Al_SportsLover",3700,TRUE,FALSE,NA,NA
"29","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:08:07,FALSE,NA,"942260094405713920",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","misslynn1977",3700,TRUE,FALSE,NA,NA
"30","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:04:52,FALSE,NA,"942259274817982464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CelticIrishGirl",3700,TRUE,FALSE,NA,NA
"31","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:04:16,FALSE,NA,"942259126679285766",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Masked_Goddess_",3700,TRUE,FALSE,NA,NA
"32","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:04:11,FALSE,NA,"942259104235573248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tntrainwreck",3700,TRUE,FALSE,NA,NA
"33","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:03:18,FALSE,NA,"942258881027174400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DaintyGirlMary",3700,TRUE,FALSE,NA,NA
"34","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:02:46,FALSE,NA,"942258747421941761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__chrissybarret",3700,TRUE,FALSE,NA,NA
