"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"343","Nick cantando en un Starbucks #GiveGood. #NickJonas Ì†ΩÌ≥∏(via @DailyNickJonas) https://t.co/DRGYIaiSe4",FALSE,5,NA,2017-12-16 23:40:55,FALSE,NA,"942177753167745025",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CuriosidadNickJ",3,FALSE,FALSE,NA,NA
"344","RT @DailyNickJonas: Ì†ΩÌ≥∏: Nick today performing at Starbucks #GiveGood https://t.co/9oXWqalFfU",FALSE,0,NA,2017-12-16 23:39:54,FALSE,NA,"942177497977942016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AngCrazyMonkey",7,TRUE,FALSE,NA,NA
"345","This morning I ran to the grocery store. I returned the cart for the little old lady parked next to me, let someone‚Ä¶ https://t.co/i6e2lfBhIj",FALSE,0,NA,2017-12-16 23:39:46,TRUE,NA,"942177463689465858",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emandelsmom",0,FALSE,FALSE,NA,NA
"346","RT @MissCraftsALot: #GiveGood retweet for a chance to win Starbucks for life, yo!",FALSE,0,NA,2017-12-16 23:38:15,FALSE,NA,"942177082397818881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kdog77",2,TRUE,FALSE,NA,NA
"347","RT @Starbucks: ‚ö°Ô∏è ‚ÄúGood is happening everywhere. #GiveGood‚Äù

https://t.co/FaH5HoECox",FALSE,0,NA,2017-12-16 23:37:50,FALSE,NA,"942176975015284736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngelOfSales",663,TRUE,FALSE,NA,NA
"348","Sometimes even calling someone beautiful will make their day, so go outside and show an act of kindness to make someone‚Äôs dayÌ†ΩÌ≤ó #givegood",FALSE,0,NA,2017-12-16 23:37:39,FALSE,NA,"942176927753916416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Brooke_lynn3579",0,FALSE,FALSE,NA,NA
"349","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick performing Chains today at Starbucks #GiveGood https://t.co/P9WQ5apMUQ",FALSE,0,NA,2017-12-16 23:35:00,FALSE,NA,"942176264215031808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lovefornickjona",15,TRUE,FALSE,NA,NA
"350","‚ù§Ô∏è‚òïÔ∏è#Givegood Ì†ºÌæÑ#starbucks ‚ù§Ô∏è#christmastime #eggnog TIME ‚ùÑÔ∏è#sweaterweather Ì†ΩÌπà#Where is my‚Ä¶ https://t.co/OCf8x76jFT",FALSE,0,NA,2017-12-16 23:34:34,FALSE,NA,"942176154055856129",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","alwysmaggie",0,FALSE,FALSE,NA,NA
"351","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick performing Chains today at Starbucks #GiveGood https://t.co/P9WQ5apMUQ",FALSE,0,NA,2017-12-16 23:32:13,FALSE,NA,"942175562633764864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zozogirlJW",15,TRUE,FALSE,NA,NA
"352","RT @kunitskiyalec: Retweet for free Starbucks  #givegood",FALSE,0,NA,2017-12-16 23:31:20,FALSE,NA,"942175340541067264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlyssaMejia9",330,TRUE,FALSE,NA,NA
